date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:50:30	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	font/ttf	etag:W/%225e64ced7-286ac%22	https://technext.github.io/tulen/fonts/fontawesome-webfont.ttf?v=4.7.0	/home/cod/Desktop/advert-web/technext.github.io/tulen/fonts/fontawesome-webfont3e6e.ttf	(from https://technext.github.io/tulen/css/font-awesome.min.css)
23:50:30	56108/56108	URF---	200	added ('OK%20(cached)')	application/woff		https://technext.github.io/tulen/fonts/themify.woff?-fvbane	/home/cod/Desktop/advert-web/technext.github.io/tulen/fonts/themify9f24.woff	(from https://technext.github.io/tulen/css/themify-icons.css)
23:50:31	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225d322e91-247b%22	https://technext.github.io/tulen/css/owl.video.play.png	/home/cod/Desktop/advert-web/technext.github.io/tulen/css/owl.video.play.49.delayed	(from https://technext.github.io/tulen/css/owl.carousel.min.css)
23:50:32	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	font/ttf	etag:W/%225e64ced7-132f8%22	https://technext.github.io/tulen/fonts/themify.ttf?-fvbane	/home/cod/Desktop/advert-web/technext.github.io/tulen/fonts/themify9f24.ttf	(from https://technext.github.io/tulen/css/themify-icons.css)
23:50:32	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	application/vnd.ms-fontobject	etag:W/%225e64ced7-1339c%22	https://technext.github.io/tulen/fonts/themify.eot?-fvbane	/home/cod/Desktop/advert-web/technext.github.io/tulen/fonts/themify9f24.eot	(from https://technext.github.io/tulen/css/themify-icons.css)
23:50:32	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	application/vnd.ms-fontobject	etag:W/%225e64ced7-1339c%22	https://technext.github.io/tulen/fonts/themify.eot?	/home/cod/Desktop/advert-web/technext.github.io/tulen/fonts/themifyd41d.eot	(from https://technext.github.io/tulen/css/themify-icons.css)
23:50:32	4715/4715	---M--	200	added ('OK')	image/png	etag:%225e64ced7-126b%22	https://technext.github.io/tulen/img/about-bg.png	/home/cod/Desktop/advert-web/technext.github.io/tulen/img/about-bg.png	(from https://technext.github.io/tulen/css/style.css)
23:50:34	147896/147896	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225e64ced7-241b8%22	https://technext.github.io/tulen/css/fresco/skins/fresco/sprite.svg	/home/cod/Desktop/advert-web/technext.github.io/tulen/css/fresco/skins/fresco/sprite.svg	(from https://technext.github.io/tulen/css/fresco.css)
23:50:36	10053/10053	---M--	200	added ('OK')	text/html	etag:%225e64ced7-2745%22	https://technext.github.io/tulen/blog-details.html	/home/cod/Desktop/advert-web/technext.github.io/tulen/blog-details.html	(from https://technext.github.io/tulen/blog.html)
23:50:36	38463/38463	---M--	200	added ('OK')	image/png	etag:%225e64ced7-963f%22	https://technext.github.io/tulen/css/fresco/skins/fresco/sprite.png	/home/cod/Desktop/advert-web/technext.github.io/tulen/css/fresco/skins/fresco/sprite.png	(from https://technext.github.io/tulen/css/fresco.css)
